"","LUNCHNUMBER","QLang1","QMA13","QMA33","QMA41_2","QMMRT28","QMMRT29","QICC25","QICC24","QCOG3","QCOG20"
"465",664852,749,0,1,1,1,0,1,1,0,0
"466",664880,749,1,0,1,0,1,0,0,0,0
"467",664958,749,1,1,0,0,1,0,1,0,0
"468",664988,750,1,0,1,1,1,0,0,1,0
"469",665330,749,1,0,0,0,0,1,1,0,0
"470",665345,749,1,0,1,0,1,0,1,0,0
"471",665408,750,0,1,0,1,0,0,1,1,1
"472",665474,750,0,0,1,0,0,0,1,1,1
"473",665507,750,1,0,1,0,0,0,0,0,0
"474",665529,0,1,0,1,0,0,0,0,0,0
"475",665689,749,0,1,1,1,0,1,0,0,0
"476",665733,749,1,1,1,1,0,1,1,0,0
"477",665744,0,1,0,1,0,1,0,1,0,0
"478",665750,749,1,1,1,0,1,0,1,0,0
"479",665849,749,1,1,0,0,0,0,1,0,0
"480",665937,749,1,1,0,0,0,1,1,0,0
"481",665940,749,1,0,0,0,0,1,1,0,0
"482",665958,752,1,0,0,0,1,0,1,0,0
"483",665963,749,1,1,0,0,1,1,1,0,0
"484",665987,750,1,1,1,1,0,1,0,0,0
"485",666071,749,1,1,1,0,0,0,0,0,0
"486",666094,749,1,0,1,0,1,1,1,0,0
"487",666115,766,0,1,1,0,0,1,1,0,0
"488",666189,0,0,0,0,1,1,0,0,0,1
"489",666261,749,0,1,0,0,0,0,0,0,0
"490",666280,750,1,1,0,1,1,0,1,1,1
"491",666319,749,0,1,1,0,0,1,0,0,0
"492",666366,749,0,1,0,0,0,0,1,0,0
"493",666420,752,0,0,1,0,0,1,1,0,0
"494",666425,752,1,1,1,1,0,0,0,0,0
"495",666432,749,1,1,1,1,0,1,1,0,0
"496",666457,749,0,0,0,0,0,0,1,0,0
"497",666484,750,1,1,1,1,1,0,0,0,0
"498",666500,749,0,1,0,0,1,1,1,0,0
"499",666505,749,1,1,1,1,1,1,1,0,0
"500",666520,750,0,1,1,1,1,0,1,1,1
"501",666532,0,0,0,1,1,1,1,0,1,0
"502",666593,749,0,1,1,1,1,1,1,0,0
"503",666707,750,1,0,0,0,0,0,1,0,0
"504",666716,749,1,0,1,0,0,0,1,0,0
"505",666774,749,1,0,0,0,0,1,1,0,0
"506",666800,749,1,1,0,1,1,0,1,0,0
"507",666852,749,1,0,0,1,0,0,1,0,0
"508",666871,749,1,1,1,0,0,1,1,0,0
"509",666875,0,1,0,1,0,0,0,0,0,1
"510",666882,749,1,1,1,0,0,0,1,1,1
"511",666890,749,1,1,0,0,0,1,1,0,1
"512",666892,749,1,1,1,1,1,1,1,0,0
"513",666899,750,1,0,1,0,1,1,1,0,0
"514",666995,749,1,1,0,1,0,0,0,1,0
"515",667025,749,1,1,1,0,1,0,1,0,0
"516",667064,749,0,0,1,0,1,1,1,1,0
"517",667103,750,1,0,1,0,0,0,1,1,0
"518",667190,750,1,1,1,0,0,1,1,1,0
"519",667212,0,1,1,1,0,0,0,1,0,0
